balcony,walls,total_area,district,year,cost,description,lon,lat,type_house,repair
1.0,Панельный,30,Уралмаш,1963.0,2250000,,60.600987,56.890172,,Хорошее
,Кирпичный,32,Эльмаш,1959.0,2090000,"Продается отличная,теплая, уютная однокомнатная квартира, в доме из кирпича. В квартире заменены окна, установлены счетчики! Квартира в чистой продаже, один собственник, быстро выйдем на сделку. Рассмотрим мат. капитал, любую ипотеку!",60.615153,56.884861,,Хорошее
,,42,Ботанический,2017.0,2800000,Квартира с хорошим ремонтом.,60.6158,56.790526,,В
1.0,,29,Ю-З,,2200000,"Продается светлая,теплая квартира в районе Буревестника. Тихий,чистый подъезд,спокойные соседи. Удобная парковка для автомобиля. Дом расположен далеко от проезжей части,ухоженная придомовая территория, кругом зеленые насаждения. Развитая инфраструктура: недалеко торговые центры, школы,детские сады, магазины, остановки общественного транспорта. Удобная транспортная развязка, 15 минут до центра города. Заменяны стояки в доме и трубы в квартире. Ипотека возможна. Один взрослый собственник, никто не прописан, быстрый выход на сделку.",60.572762,56.823636,,
1.0,Панельный,34,Компрессорный,2001.0,2000000,"Уютная, теплая, светлая однокомнатная квартира на четвертом этаже В квартире косметический ремонт, хороший ремонт в сан узле и ванне. Установлены счетчики учета воды и электро энергии. Остается бойлер, кухонный гарнитур и прихожая. Поменяны двери в квартире, качественная сейф дверь.Лоджия застеклена. Удобное расположение дома, рядом конечная остановка транспорта, школа № 71, №53, детские сады №17, №253, №524. В шаговой доступности спортивный центр Олимп, магазины. Отличное ТСЖ, в подъездах чистота, порядок. Можно оставлять коляски, велосипед. Во дворе спортивный корт и детская площадка. Один взрослый собственник.Обмен на 2-3 х комнатную квартиру в этом районе.",60.763187,56.79671800000001,Улучшенной,Хорошее
1.0,Панельный,34,Уралмаш,2006.0,2630000,Отличная однокомнатная квартира в доме спецпроекта 2006 года. В квартире остается кухня и мебель которая на фотографиях. Отличное расположение дома рядом с остановками общественного транспорта. Не далеко до метро. Закрытая охраняемая территория. Консьерж. Чистый подъезд с цветами. Чистая продажа. Один взрослый собственник. Ипотека возможна. Покажу в любое удобное для Вас время.,60.58823100000001,56.906507,Индивидуальная,В
1.0,Монолитный,43,Академический,2013.0,2950000,"Продам 1 комнатную квартиру в Академическом районе. Квартира разделена на кухню-гостиную и спальню, отделка от застройщика. Лоджия 3,2 м2. В шаговой доступности: магазины, банки, детские сады и школы, кафе и салоны красоты и др. Рядом с комплексом располагается лесопарковая зона, небольшое озеро.Закрытый двор без машин, придомовое пространство, простая дорожная сеть. В комплексе установлены современные детские и спортивные площадки. В районе установлено более 200 камер, обеспечивающие безопасность комплексов. Возможно приобретение без первоначального взноса. Звоните, отвечу на все ваши вопросы.",60.512494,56.79719100000001,,
1.0,Монолитный,43,Уктус,2016.0,2950000,"Продам 1-комнатную квартиру интересной планировки с большой лоджией и панорамным остеклением. В квартире выполнен качественный ремонт. БОЛЬШИМ БОНУСОМ будущим владельцам остается встроенный кухонный гарнитур с техникой и вместительный шкаф-купе. Жилой кварталл ""Светлый"" окружен парком им. Лесоводов России, с трех сторон!!! Во дворе просторная детская площадка со всевозможными горками, каруселями, баскетбольная, волейбольная, футбольная площадки,корт для игры в хоккей. Здесь все предусмотрено для жизни и отдыха семей с детьми,активных людей (молодых и пожилых)!В шаговой доступности несколько продуктовых магазинов, аптеки, хозяйственный магазин, парикмахерская, детский школа развития. До метро ""Ботаническая"" 15 минут на 083 маршруте! Помогу с согласованием и оформлением ипотеки.",60.700475,56.77885500000001,Улучшенной,В
1.0,Монолитный,67,Ю-З,2010.0,6250000,СРОЧНАЯ ПРОДАЖА! ТОРГ ВОЗМОЖЕН!,60.57958000000001,56.826877,,
1.0,Кирпичный,35,Втузгородок,,2100000,"Теплая и уютная студия 35 кв.м + прихожая, второй этаж-антресоль (9 кв.м) и балкон, на высоком первом этаже (под нами цокольный этаж с коммерческим помещением).",60.6522,56.836997,,
